Id;CampaignEmailsSentId;UserId;SurveyCommonId;CampaignId;SurveyGuid;QuestionId;QuestionText;Qrow;QrowText;Qcol;QcolText;Qval;QvalText;Datum
126399;7056;166210;5;1;;q1;1.Вие сте:;1;;0;;1;Учител;2023-08-01 13:15:29.507
126400;7056;166210;5;1;;q2;2. На кои класове по ДСО преподавахте през настоящата учебна година (2022/2023)?;2;;0;;2;9 клас;2023-08-01 13:15:32.383
126401;7056;166210;5;1;;q2;2. На кои класове по ДСО преподавахте през настоящата учебна година (2022/2023)?;3;;0;;3;10 клас;2023-08-01 13:15:32.387
126402;7056;166210;5;1;;q2;2. На кои класове по ДСО преподавахте през настоящата учебна година (2022/2023)?;4;;0;;4;11 клас;2023-08-01 13:15:32.390
126403;7056;166210;5;1;;q2;2. На кои класове по ДСО преподавахте през настоящата учебна година (2022/2023)?;5;;0;;5;12 клас;2023-08-01 13:15:32.390
126404;7056;166210;5;1;;q3;3.Какъв е Вашият общ трудов стаж в сферата на професионалното обучение и образование?;24;;0;;24;NULL;2023-08-01 13:15:32.393
126405;7056;166210;5;1;;q4;4.А какъв опит имате в дуалната система на обучение?;3;;0;;3;NULL;2023-08-01 13:15:32.397
126406;7056;166210;5;1;;q5;5.Участвали ли сте в други проекти за дуално обучение и образование?;2;;0;;2;Не;2023-08-01 13:15:32.400
126407;7056;166210;5;1;;q5;5.Участвали ли сте в други проекти за дуално обучение и образование?;1;Да;1;;1;NULL;2023-08-01 13:15:32.407
126408;7056;166210;5;1;;q5;5.Участвали ли сте в други проекти за дуално обучение и образование?;2;Не;1;;1;NULL;2023-08-01 13:15:32.410
126409;7056;166210;5;1;;q5;5.Участвали ли сте в други проекти за дуално обучение и образование?;3;NULL;1;;1;NULL;2023-08-01 13:15:32.410
126410;7056;166210;5;1;;q5;5.Участвали ли сте в други проекти за дуално обучение и образование?;4;NULL;1;;1;NULL;2023-08-01 13:15:32.413
126411;7056;166210;5;1;;q5;5.Участвали ли сте в други проекти за дуално обучение и образование?;5;NULL;1;;1;NULL;2023-08-01 13:15:32.413
126412;7056;166210;5;1;;q5;5.Участвали ли сте в други проекти за дуално обучение и образование?;6;NULL;1;;1;NULL;2023-08-01 13:15:32.417
126413;7056;166210;5;1;;q5;5.Участвали ли сте в други проекти за дуално обучение и образование?;7;NULL;1;;1;NULL;2023-08-01 13:15:32.417
126414;7056;166210;5;1;;q5;5.Участвали ли сте в други проекти за дуално обучение и образование?;8;NULL;1;;1;NULL;2023-08-01 13:15:32.420
126415;7056;166210;5;1;;q5;5.Участвали ли сте в други проекти за дуално обучение и образование?;9;NULL;1;;1;NULL;2023-08-01 13:15:32.420
126416;7056;166210;5;1;;q5;5.Участвали ли сте в други проекти за дуално обучение и образование?;10;NULL;1;;1;NULL;2023-08-01 13:15:32.423
126417;7056;166210;5;1;;q5;5.Участвали ли сте в други проекти за дуално обучение и образование?;11;NULL;1;;1;NULL;2023-08-01 13:15:32.423
126418;7056;166210;5;1;;q5;5.Участвали ли сте в други проекти за дуално обучение и образование?;1;Да;1;;1;NULL;2023-08-01 13:15:32.427
126419;7056;166210;5;1;;q5;5.Участвали ли сте в други проекти за дуално обучение и образование?;2;Не;1;;1;NULL;2023-08-01 13:15:32.427
126420;7056;166210;5;1;;q5;5.Участвали ли сте в други проекти за дуално обучение и образование?;3;NULL;1;;1;NULL;2023-08-01 13:15:32.430
126421;7056;166210;5;1;;q5;5.Участвали ли сте в други проекти за дуално обучение и образование?;1;Да;1;;1;NULL;2023-08-01 13:15:32.430
126422;7056;166210;5;1;;q5;5.Участвали ли сте в други проекти за дуално обучение и образование?;2;Не;1;;1;NULL;2023-08-01 13:15:32.433
126423;7056;166210;5;1;;q5;5.Участвали ли сте в други проекти за дуално обучение и образование?;3;NULL;1;;1;NULL;2023-08-01 13:15:32.433
126424;7056;166210;5;1;;q5;5.Участвали ли сте в други проекти за дуално обучение и образование?;4;NULL;1;;1;NULL;2023-08-01 13:15:32.437
126425;7056;166210;5;1;;q5;5.Участвали ли сте в други проекти за дуално обучение и образование?;5;NULL;1;;1;NULL;2023-08-01 13:15:32.437
126426;7056;166210;5;1;;q5;5.Участвали ли сте в други проекти за дуално обучение и образование?;6;NULL;1;;1;NULL;2023-08-01 13:15:32.440
126427;7056;166210;5;1;;q5;5.Участвали ли сте в други проекти за дуално обучение и образование?;7;NULL;1;;1;NULL;2023-08-01 13:15:32.440
126428;7056;166210;5;1;;q5;5.Участвали ли сте в други проекти за дуално обучение и образование?;8;NULL;1;;1;NULL;2023-08-01 13:15:32.443
